1,(general),1,,,
2,(general),2,,,
3,Time limits,2,,,
4,Scheduled maint checks,2,,,
5,Return to service,2,,,
6,Unscheduled maint checks,2,,,
7,(general),3,,,
8,Towing,3,,,
9,Taxiing,3,,,
10,(general),4,,,
11,Parking/storage,4,,,
12,Tie-down/mooring,4,,,
13,(general),5,,,
14,(general),6,,,
15,(general),7,,,
16,Compressor system,7,,,
17,Air distribution system,7,,,
18,Air distribution fan,7,,,
19,Pressurization control system,7,,,
20,Pressure controller,7,,,
21,Pressure indicator,7,,,
22,Regulator-outflow valve,7,,,
23,Pressure sensor,7,,,
24,Heating system,7,,,
25,Cooling sys (air/vapor cycle),7,,,
26,Temperature control system,7,,,
27,Temperature controller,7,,,
28,Cabin temperature indicator,7,,,
29,Cabin temperature sensor,7,,,
30,Humidity control system,7,,,
31,Air cond sys wiring,7,,,
32,(general),8,,,
33,Autopilot system,8,,,
34,Autopilot computer,8,,,
35,Altitude controller,8,,,
36,Flight controller,8,,,
37,Autopilot trim indicator,8,,,
38,Autopilot main servo,8,,,
39,Autopilot trim servo,8,,,
40,Speed-attitude correction sys,8,,,
41,Auto throttle system,8,,,
42,Aerodynamic load alleviating,8,,,
43,Autoflight sys wiring,8,,,
44,(general),9,,,
45,HF communication system,9,,,
46,UHF communication system,9,,,
47,VHF communication system,9,,,
48,Data transmission auto call,9,,,
49,PA & entertainment system,9,,,
50,Interphone,9,,,
51,Audio integrating,9,,,
52,Static discharge system,9,,,
53,Audio & video monitoring,9,,,
54,Comm sys wiring,9,,,
55,(general),10,,,
56,Alternator,10,,,
57,AC generation system,10,,,
58,AC generator,10,,,
59,AC inverter,10,,,
60,Phase adapter,10,,,
61,AC regulator,10,,,
62,AC indicating systems,10,,,
63,DC generation system,10,,,
64,Battery overheat warning sys,10,,,
65,Battery/charger,10,,,
66,DC rectifier,10,,,
67,DC generator,10,,,
68,Starter,10,,,
69,DC regulator,10,,,
70,DC indicating system,10,,,
71,External power system,10,,,
72,AC power distribution system,10,,,
73,DC power distribution system,10,,,
74,Electrical pwr sys wiring,10,,,
75,(general),11,,,
76,Flight compartment equipment,11,,,
77,Passenger compartment equip,11,,,
78,Buffet/galleys,11,,,
79,Lavatories,11,,,
80,Cargo compartments,11,,,
81,Agricultural/external load sys,11,,,
82,Emergency equipment,11,,,
83,Life jacket,11,,,
84,Emergency locator beacon,11,,,
85,Parachute,11,,,
86,Life raft,11,,,
87,Escape slide,11,,,
88,Accessory compartments,11,,,
89,Battery box structure,11,,,
90,Electronic shelf section,11,,,
91,Equ/fur sys wiring,11,,,
92,(general),12,,,
93,Detection system,12,,,
94,"Smoke, detection",12,,,
95,"Fire, detection",12,,,
96,"Overheat, detection",12,,,
97,Extinguishing system,12,,,
98,"Fire bottle, fixed",12,,,
99,"Fire bottle, portable",12,,,
100,Fire prot sys wiring,12,,,
101,(general),13,,,
102,Control column section,13,,,
103,Aileron control system,13,,,
104,Aileron tab control system,13,,,
105,Rudder control system,13,,,
106,Rudder tab control system,13,,,
107,Rudder actuator,13,,,
108,Elevator control system,13,,,
109,Elevator tab control system,13,,,
110,Stabilizer control system,13,,,
111,Stabilizer position ind system,13,,,
112,Stabilizer actuator,13,,,
113,TE flap control system,13,,,
114,TE flap position ind system,13,,,
115,TE flap actuator,13,,,
116,Drag control system,13,,,
117,Drag control actuator,13,,,
118,Gust lock or damper,13,,,
119,LE flap control system,13,,,
120,LE flap position ind system,13,,,
121,LE flap actuator,13,,,
